Nest Camera,1581620287.848075,-40.0
Nest Camera,1581620287.848697,-40.0
Nest Camera,1581620287.863724,-43.0
Nest Camera,1581620287.864758,-43.0
Nest Camera,1581620287.867222,-40.0
Nest Camera,1581620287.882763,-40.0
Nest Camera,1581620287.882765,-42.0
Nest Camera,1581620287.895859,-256.0
Nest Camera,1581620287.897523,-256.0
Nest Camera,1581620287.899565,-256.0
Nest Camera,1581620287.899567,-43.0
Nest Camera,1581620287.909007,-41.0
Amazon Echo,1581620287.913557,-38.0
Amazon Echo,1581620287.914448,-38.0
Nest Camera,1581620287.917773,-41.0
Amazon Echo,1581620287.928415,-39.0
Nest Camera,1581620287.931383,-41.0
Nest Camera,1581620287.931387,-41.0
Nest Camera,1581620287.931782,-41.0
Nest Camera,1581620287.931961,-41.0
Nest Camera,1581620287.932142,-41.0
Nest Camera,1581620287.932149,-41.0
Nest Camera,1581620287.932292,-41.0
Nest Camera,1581620287.933114,-41.0
Nest Camera,1581620287.933117,-41.0
Nest Camera,1581620287.933271,-41.0
Nest Camera,1581620287.933597,-41.0
Nest Camera,1581620287.93378,-41.0
Nest Camera,1581620287.933817,-41.0
Nest Camera,1581620287.934198,-41.0
Nest Camera,1581620287.935253,-41.0
Nest Camera,1581620287.935257,-41.0
Vizio SmartTV,1581620287.969209,-52.0
Vizio SmartTV,1581620287.969411,-52.0
Vizio SmartTV,1581620287.970835,-52.0
Vizio SmartTV,1581620287.972953,-52.0
Vizio SmartTV,1581620287.976212,-52.0
Vizio SmartTV,1581620287.982067,-51.0
Vizio SmartTV,1581620287.988439,-52.0
Vizio SmartTV,1581620287.98853,-52.0
Vizio SmartTV,1581620287.988533,-52.0
Vizio SmartTV,1581620287.989658,-51.0
Vizio SmartTV,1581620287.990754,-51.0
Amazon Echo,1581620287.993837,-38.0
Amazon Echo,1581620288.007912,-38.0
Google Home,1581620288.01155,-39.0
Vizio SmartTV,1581620288.01879,-52.0
Amazon Echo,1581620288.073488,-38.0
Amazon Echo,1581620288.087339,-38.0
Nest Camera,1581620288.116649,-41.0
Amazon Echo,1581620288.1539,-38.0
Amazon Echo,1581620288.154106,-38.0
Amazon Echo,1581620288.15503,-38.0
Amazon Echo,1581620288.166576,-38.0
Amazon Echo,1581620288.208402,-38.0
Amazon Echo,1581620288.208411,-38.0
Amazon Echo,1581620288.208412,-38.0
Nest Camera,1581620288.224721,-43.0
Amazon Echo,1581620288.24928,-38.0
Nest Doorbell,1581620288.256454,-38.0
Nest Doorbell,1581620288.256827,-38.0
Nest Doorbell,1581620288.256833,-38.0
Nest Camera,1581620288.259973,-41.0
Nest Camera,1581620288.261716,-43.0
Nest Doorbell,1581620288.292138,-38.0
Nest Camera,1581620288.296941,-41.0
Amazon Echo,1581620288.314259,-38.0
Amazon Echo,1581620288.327764,-38.0
Nest Camera,1581620288.333021,-44.0
Nest Camera,1581620288.370319,-42.0
Nest Camera,1581620288.374566,-44.0
Amazon Echo,1581620288.393746,-38.0
Amazon Echo,1581620288.408002,-38.0
Nest Camera,1581620288.409866,-42.0
Nest Camera,1581620288.411222,-43.0
Nest Camera,1581620288.446508,-42.0
Amazon Echo,1581620288.473782,-38.0
Amazon Echo,1581620288.474252,-38.0
WeMo Smart Plug,1581620288.475568,-36.0
Nest Camera,1581620288.484078,-42.0
Amazon Echo,1581620288.486311,-38.0
Amazon Echo,1581620288.486313,-38.0
Amazon Echo,1581620288.486314,-38.0
Amazon Echo,1581620288.48645,-38.0
Nest Camera,1581620288.492466,-44.0
Nest Camera,1581620288.527931,-42.0
Nest Camera,1581620288.530168,-45.0
Amazon Echo,1581620288.553711,-38.0
Amazon Echo,1581620288.554078,-38.0
Nest Camera,1581620288.565227,-42.0
Amazon Echo,1581620288.566974,-38.0
Nest Camera,1581620288.570371,-45.0
Nest Camera,1581620288.572409,-45.0
Nest Camera,1581620288.572411,-45.0
Nest Camera,1581620288.573034,-45.0
Nest Camera,1581620288.573548,-43.0
Nest Camera,1581620288.573975,-43.0
Nest Camera,1581620288.61306,-41.0
Amazon Echo,1581620288.633857,-40.0
Amazon Echo,1581620288.647785,-38.0
Nest Camera,1581620288.64868,-42.0
Nest Camera,1581620288.68409,-42.0
SimpliSafe,1581620288.700028,-41.0
Amazon Echo,1581620288.728062,-39.0
Nest Camera,1581620288.734723,-42.0
Nest Camera,1581620288.737794,-44.0
Nest Camera,1581620288.807419,-44.0
Amazon Echo,1581620288.811085,-39.0
Nest Camera,1581620288.843222,-41.0
Nest Camera,1581620288.86003,-44.0
Amazon Echo,1581620288.87365,-38.0
Amazon Echo,1581620288.887661,-38.0
Nest Camera,1581620288.8995,-41.0
Nest Camera,1581620288.90476,-44.0
Amazon Echo,1581620288.908774,-38.0
Nest Camera,1581620288.940605,-41.0
Amazon Echo,1581620288.940607,-38.0
Amazon Echo,1581620288.953806,-38.0
Amazon Echo,1581620288.967074,-38.0
Vizio SmartTV,1581620288.970598,-54.0
Nest Camera,1581620288.970754,-43.0
Vizio SmartTV,1581620289.006929,-54.0
Nest Camera,1581620289.022655,-40.0
Amazon Echo,1581620289.034099,-37.0
Nest Camera,1581620289.03437,-43.0
Amazon Echo,1581620289.048224,-37.0
Nest Camera,1581620289.070741,-40.0
Nest Camera,1581620289.072032,-42.0
Nest Camera,1581620289.107938,-40.0
Amazon Echo,1581620289.113873,-36.0
Amazon Echo,1581620289.127786,-37.0
Nest Camera,1581620289.129039,-42.0
Nest Camera,1581620289.164523,-40.0
Nest Camera,1581620289.167568,-42.0
Amazon Echo,1581620289.193889,-36.0
Nest Camera,1581620289.20298,-40.0
Nest Camera,1581620289.204564,-43.0
Nest Camera,1581620289.20457,-43.0
Nest Camera,1581620289.205189,-43.0
Nest Camera,1581620289.20601,-43.0
Amazon Echo,1581620289.209992,-36.0
Nest Camera,1581620289.239893,-40.0
Nest Camera,1581620289.253026,-43.0
Amazon Echo,1581620289.273693,-37.0
Nest Doorbell,1581620289.276596,-37.0
Nest Doorbell,1581620289.276604,-37.0
Amazon Echo,1581620289.291875,-41.0
Amazon Echo,1581620289.292084,-37.0
Nest Camera,1581620289.293977,-41.0
Nest Camera,1581620289.296534,-43.0
Nest Doorbell,1581620289.31179,-37.0
Nest Camera,1581620289.331747,-41.0
Nest Camera,1581620289.336437,-43.0
Roomba Vaccum,1581620289.344319,-45.0
Amazon Echo,1581620289.353824,-37.0
Amazon Echo,1581620289.367299,-37.0
Nest Camera,1581620289.371457,-40.0
Nest Camera,1581620289.389071,-43.0
Nest Camera,1581620289.424168,-40.0
Amazon Echo,1581620289.433821,-37.0
Amazon Echo,1581620289.433823,-37.0
Amazon Echo,1581620289.448525,-37.0
Nest Camera,1581620289.460389,-42.0
Nest Camera,1581620289.49581,-40.0
Nest Camera,1581620289.505304,-42.0
Nest Camera,1581620289.505875,-42.0
Amazon Echo,1581620289.514096,-37.0
Amazon Echo,1581620289.530198,-37.0
Vizio SmartTV,1581620289.538783,-53.0
Vizio SmartTV,1581620289.538789,-53.0
Vizio SmartTV,1581620289.538791,-53.0
Nest Camera,1581620289.541547,-40.0
Nest Camera,1581620289.542597,-42.0
Nest Camera,1581620289.578278,-39.0
Nest Camera,1581620289.607715,-42.0
Amazon Echo,1581620289.608007,-37.0
Amazon Echo,1581620289.608623,-37.0
Nest Camera,1581620289.642919,-39.0
Amazon Echo,1581620289.643043,-37.0
Nest Camera,1581620289.645365,-41.0
Amazon Echo,1581620289.674091,-37.0
Amazon Echo,1581620289.674097,-37.0
Amazon Echo,1581620289.674098,-37.0
Amazon Echo,1581620289.6741,-37.0
Nest Camera,1581620289.681256,-39.0
Nest Camera,1581620289.689321,-42.0
Amazon Echo,1581620289.690153,-37.0
Nest Camera,1581620289.724822,-39.0
Amazon Echo,1581620289.753644,-37.0
Nest Camera,1581620289.762149,-39.0
Nest Camera,1581620289.764792,-42.0
Amazon Echo,1581620289.770761,-37.0
Nest Camera,1581620289.803388,-39.0
Nest Camera,1581620289.806263,-42.0
Nest Camera,1581620289.841809,-39.0
Amazon Echo,1581620289.849046,-37.0
Nest Camera,1581620289.852457,-42.0
Nest Camera,1581620289.852694,-42.0
Nest Camera,1581620289.853172,-42.0
Nest Camera,1581620289.856014,-42.0
Nest Camera,1581620289.891764,-39.0
Amazon Echo,1581620289.913867,-37.0
Amazon Echo,1581620289.927847,-38.0
Nest Camera,1581620289.962673,-40.0
Nest Camera,1581620289.966041,-42.0
Vizio SmartTV,1581620289.97089,-54.0
Amazon Echo,1581620289.993867,-37.0
Vizio SmartTV,1581620289.998393,-54.0
Amazon Echo,1581620290.00779,-37.0
Amazon Echo,1581620290.073882,-37.0
Nest Camera,1581620290.0831,-40.0
Nest Camera,1581620290.085491,-42.0
Amazon Echo,1581620290.089519,-37.0
Nest Camera,1581620290.128538,-40.0
Nest Camera,1581620290.13037,-42.0
Nest Camera,1581620290.131299,-42.0
Nest Camera,1581620290.13225,-42.0
Nest Camera,1581620290.168589,-40.0
Amazon Echo,1581620290.169201,-38.0
Nest Camera,1581620290.170922,-42.0
Nest Camera,1581620290.21061,-40.0
Amazon Echo,1581620290.233864,-38.0
Nest Camera,1581620290.242865,-42.0
Amazon Echo,1581620290.2511,-38.0
Nest Camera,1581620290.277958,-40.0
Nest Camera,1581620290.280269,-42.0
Amazon Echo,1581620290.309022,-38.0
Nest Doorbell,1581620290.314028,-39.0
Nest Doorbell,1581620290.314289,-39.0
Nest Doorbell,1581620290.314293,-40.0
Nest Camera,1581620290.31567,-40.0
Nest Camera,1581620290.324254,-42.0
Amazon Echo,1581620290.328035,-38.0
Nest Doorbell,1581620290.344526,-39.0
Nest Doorbell,1581620290.353753,-39.0
Nest Camera,1581620290.359836,-40.0
Nest Camera,1581620290.362237,-42.0
Amazon Echo,1581620290.393178,-38.0
Nest Camera,1581620290.397388,-40.0
Nest Camera,1581620290.401963,-42.0
Amazon Echo,1581620290.408457,-38.0
Nest Camera,1581620290.438079,-39.0
Nest Camera,1581620290.460672,-42.0
Amazon Echo,1581620290.473468,-38.0
Amazon Echo,1581620290.489654,-38.0
Nest Camera,1581620290.499614,-40.0
Nest Camera,1581620290.502321,-43.0
Nest Camera,1581620290.545859,-41.0
Amazon Echo,1581620290.570368,-38.0
